ViscoIntrinseca ; RgFloryFox 
-4.165053 ; -18.0424880981  
-4.015565 ; -17.8239994049  
-4.019737 ; -17.8301696777  
-7.067441 ; -21.5200710297  
-7.532596 ; -21.9822006226  
-6.330013 ; -20.7439346313  
-4.526854 ; -18.5504760742  
-4.079819 ; -17.9185638428  
-4.003048 ; -17.8054599762  
-3.828406 ; -17.5426654816  
-3.807425 ; -17.5105609894  
-7.293701 ; -21.7473125458  
-7.331490 ; -21.7848052979  
-5.720973 ; -20.0560894012  
-4.054666 ; -17.8816642761  
-3.870368 ; -17.6065254211  
-3.751635 ; -17.4246120453  
-3.716707 ; -17.3703689575  
-3.901124 ; -17.6530399323  
-7.183432 ; -21.6371612549  
-7.054924 ; -21.5073585510  
-5.149722 ; -19.3649997711  
-3.585458 ; -17.1634445190  
-3.670573 ; -17.2981987000  
-3.576994 ; -17.1499290466  
-3.635645 ; -17.2431564331  
-4.395485 ; -18.3692684174  
-7.075786 ; -21.5285358429  
-6.612062 ; -21.0475673676  
-4.616141 ; -18.6716461182  
-3.325581 ; -16.7383308411  
-3.431797 ; -16.9146671295  
-3.402471 ; -16.8663501740  
-3.427624 ; -16.9078083038  
-5.218148 ; -19.4503917694  
-6.778359 ; -21.2225608826  
-5.866289 ; -20.2244815826  
-3.849387 ; -17.5746536255  
-2.864718 ; -15.9263734818  
-2.843737 ; -15.8873977661  
-2.711057 ; -15.6363658905  
-2.711057 ; -15.6363658905  
-5.498886 ; -19.7931308746  
-5.908131 ; -20.2724533081  
-4.433274 ; -18.4217605591  
-2.318621 ; -14.8422422409  
-1.325488 ; -12.3182268143  
-1.159310 ; -11.7802953720  
-0.793338 ; -10.3810749054  
-0.502825 ; -8.9171991348  
-3.317237 ; -16.7243175507  
-3.308892 ; -16.7102832794  
-0.805855 ; -10.4353866577  
1.913547 ; 13.9220333099  
3.413677 ; 16.8848438263  
3.951311 ; 17.7284183502  
4.790783 ; 18.9042053223  
5.621910 ; 19.9396495819  
2.813101 ; 15.8301372528  
3.128767 ; 16.4013900757  
6.602287 ; 21.0371894836  
9.773016 ; 23.9753971100  
11.065005 ; 24.9884967804  
11.939286 ; 25.6300258636  
12.770413 ; 26.2114620209  
13.528823 ; 26.7203998566  
9.897232 ; 24.0765457153  
10.809182 ; 24.7944145203  
14.785766 ; 27.5235328674  
18.101692 ; 29.4439449310  
18.873930 ; 29.8568305969  
19.781828 ; 30.3280906677  
20.450829 ; 30.6661949158  
19.360065 ; 30.1110019684  
16.790152 ; 28.7149333954  
18.468857 ; 29.6416873932  
22.736071 ; 31.7683544159  
26.081083 ; 33.2555999756  
26.427505 ; 33.4021949768  
27.117489 ; 33.6903953552  
27.547596 ; 33.8675804138  
24.005650 ; 32.3489913940  
23.166178 ; 31.9674282074  
25.561569 ; 33.0333099365  
29.776810 ; 34.7575378418  
32.564640 ; 35.8100585938  
32.892941 ; 35.9299964905  
33.306358 ; 36.0798988342  
33.561943 ; 36.1719512939  
28.758762 ; 34.3568229675  
