[NaCl] ; Mw90 
0.000000 ; -476.315552 
0.000000 ; -484.526764 
0.000000 ; 854.081055 
0.000000 ; 164.245987 
0.000000 ; 1363.244507 
0.000000 ; 1174.361816 
-0.000009 ; -221.733780 
-0.000009 ; 599.499268 
0.000000 ; -287.429718 
0.000000 ; 1428.943604 
-0.000009 ; -542.011536 
0.000000 ; 287.429718 
-0.000009 ; -287.429718 
0.000000 ; 607.710449 
-0.000009 ; 796.593201 
-0.000009 ; 2315.872559 
0.000000 ; 17327.980469 
-0.000009 ; 2192.688721 
-0.000009 ; -665.198242 
-0.000009 ; 542.011536 
0.000000 ; 32.847977 
0.000008 ; 164.245987 
0.000000 ; 98.546982 
-0.000009 ; 927.991272 
-0.000009 ; 2200.899902 
-0.000009 ; 32.847977 
-0.000009 ; -344.917511 
0.000000 ; 919.779968 
-0.000009 ; 665.198242 
-0.000009 ; 353.128754 
-0.000009 ; 164.245987 
-0.000009 ; 1683.525269 
0.000000 ; -156.034760 
0.000000 ; 1174.361816 
-0.000009 ; 607.710449 
-0.000009 ; 32.847977 
-0.000009 ; 2455.481689 
-0.000009 ; 1248.271973 
-0.000009 ; 739.108521 
-0.000009 ; 98.546982 
-0.000009 ; 1116.874023 
-0.000009 ; -147.820480 
-0.000009 ; 673.409546 
-0.000009 ; -599.499268 
-0.000009 ; -1683.525269 
-0.000009 ; -90.335754 
-0.000009 ; 32.847977 
-0.000009 ; -1494.639526 
-0.000009 ; 279.218506 
-0.000009 ; -927.991272 
-0.000009 ; -229.944992 
-0.000009 ; -862.292236 
-0.000009 ; -1502.853882 
-0.000009 ; -229.944992 
-0.000009 ; -353.128754 
-0.000009 ; 468.101227 
-0.000009 ; -927.991272 
-0.000009 ; -361.343018 
-0.000009 ; -681.620728 
-0.000009 ; -1634.251831 
-0.000009 ; -804.807556 
-0.000009 ; -1182.573120 
-0.000009 ; -673.409546 
-0.000009 ; -1313.970947 
-0.000009 ; -172.457230 
-0.000009 ; -1313.970947 
-0.000009 ; -1445.365967 
-0.000009 ; -927.991272 
-0.000009 ; 1289.334351 
-0.000009 ; 5420.126953 
-0.000017 ; 10823.828125 
-0.000017 ; 336.706268 
-0.000009 ; -1313.970947 
-0.000009 ; -870.506531 
-0.000009 ; -993.690247 
-0.000009 ; 213.519501 
-0.000009 ; -673.409546 
-0.000009 ; 665.198242 
-0.000009 ; 90.335754 
-0.000009 ; -106.761276 
-0.000009 ; -41.062263 
-0.000009 ; -229.944992 
-0.000009 ; -1313.970947 
-0.000009 ; 90.335754 
-0.000009 ; 665.198242 
-0.000009 ; 344.917511 
-0.000009 ; -796.593201 
-0.000009 ; -229.944992 
-0.000009 ; -418.827759 
-0.000009 ; -862.292236 
-0.000009 ; 344.917511 
-0.000009 ; -164.245987 
-0.000009 ; 665.198242 
-0.000009 ; 1240.060791 
-0.000009 ; -854.081055 
-0.000009 ; 90.335754 
-0.000009 ; 1749.224365 
-0.000009 ; -221.733780 
-0.000009 ; 410.616547 
-0.000009 ; 607.710449 
-0.000009 ; 98.546982 
-0.000009 ; 673.409546 
-0.000009 ; -1166.147461 
-0.000009 ; -24.636745 
-0.000009 ; 41.062263 
-0.000009 ; 41.062263 
-0.000009 ; -969.053528 
-0.000009 ; -1470.002808 
-0.000009 ; -698.046265 
-0.000009 ; 574.862488 
-0.000009 ; -829.444275 
-0.000009 ; -57.484722 
-0.000009 ; -57.484722 
-0.000009 ; -65.699013 
-0.000009 ; -509.163513 
-0.000009 ; 895.143311 
-0.000009 ; -1149.724976 
-0.000009 ; -65.699013 
-0.000009 ; -640.561523 
-0.000009 ; -1215.420898 
-0.000009 ; -640.561523 
-0.000009 ; -763.745239 
-0.000009 ; 0.000000 
-0.000009 ; -443.464539 
-0.000009 ; -377.765472 
-0.000009 ; -509.163513 
-0.000009 ; -509.163513 
-0.000009 ; -952.628052 
-0.000009 ; 1026.538208 
-0.000009 ; 197.097031 
-0.000009 ; -1970.955078 
-0.000009 ; -1396.092529 
-0.000009 ; -886.929077 
-0.000009 ; -1519.279297 
-0.000009 ; -698.046265 
-0.000009 ; 443.464539 
-0.000009 ; -320.280762 
-0.000009 ; 0.000000 
-0.000009 ; 698.046265 
-0.000009 ; 0.000000 
-0.000009 ; 829.444275 
-0.000009 ; 188.882736 
-0.000009 ; 0.000000 
-0.000009 ; -131.398026 
-0.000009 ; 65.699013 
-0.000009 ; 698.046265 
-0.000009 ; -65.699013 
-0.000009 ; 509.163513 
-0.000009 ; 188.882736 
-0.000009 ; 0.000000 
-0.000009 ; -640.561523 
-0.000009 ; -640.561523 
-0.000009 ; -188.882736 
-0.000009 ; -385.979736 
-0.000009 ; -763.745239 
-0.000009 ; -1716.373413 
-0.000009 ; -320.280762 
-0.000009 ; -1338.607788 
-0.000009 ; -254.581757 
-0.000009 ; 254.581757 
-0.000009 ; -1264.697510 
-0.000009 ; 574.862488 
-0.000009 ; 574.862488 
-0.000009 ; -1396.092529 
-0.000009 ; -2028.442749 
-0.000009 ; -886.929077 
-0.000009 ; -698.046265 
-0.000009 ; -246.370514 
-0.000009 ; 197.097031 
-0.000009 ; 385.979736 
-0.000009 ; -755.534058 
-0.000009 ; 8.211228 
-0.000009 ; -312.066467 
-0.000009 ; -886.929077 
-0.000009 ; -500.952271 
-0.000009 ; -698.046265 
-0.000009 ; -755.534058 
-0.000009 ; -1264.697510 
-0.000009 ; -698.046265 
-0.000009 ; -188.882736 
-0.000009 ; -698.046265 
-0.000009 ; 197.097031 
-0.000009 ; 8.211228 
-0.000009 ; -1272.908813 
-0.000009 ; -1207.209717 
-0.000009 ; -57.484722 
-0.000009 ; -1330.393433 
-0.000009 ; -698.046265 
-0.000009 ; 320.280762 
-0.000009 ; 763.745239 
-0.000009 ; -188.882736 
-0.000009 ; -385.979736 
-0.000009 ; -509.163513 
-0.000009 ; -131.398026 
-0.000009 ; -886.929077 
-0.000009 ; -188.882736 
-0.000009 ; 385.979736 
-0.000009 ; 385.979736 
